mask,name,tier,elements,graph_id,resolve_mechanics,death_mechanics
0x03,Thermal Shock,Fusion,Fire + Cold,334e754edefac965,BuildupWave[Fire->Fire|m=0.710|r=3.160|d=4.500|n=1|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.160|d=0.770|n=1|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; Compression[Cold->Fire|Cold|m=0.785|r=4.010|d=3.700|n=5|delay=0.380],Burst[Cold->Fire|Cold|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Cold->Fire|Cold|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; DetonateBuildup[Cold->Fire|Cold|m=0.710|r=4.180|d=3.900|n=5|delay=0.380]; Freeze[Cold->Cold|m=0.000|r=4.200|d=1.020|n=1|delay=0.000]
0x05,Plasma,Fusion,Fire + Lightning,85f79f8a8888026e,BuildupWave[Fire->Fire|m=0.710|r=3.160|d=4.500|n=1|delay=0.000]; ChainArc[Lightning->Lightning|m=0.600|r=4.960|d=0.000|n=4|delay=0.000]; OrbitingNodes[Lightning->Fire|Lightning|m=0.780|r=4.200|d=4.500|n=3|delay=0.000]; ChainArc[Fire->Fire|Lightning|m=0.720|r=5.200|d=0.000|n=4|delay=0.000]; DetonateBuildup[Lightning->Fire|Lightning|m=0.835|r=4.350|d=3.900|n=5|delay=0.490],Burst[Lightning->Fire|Lightning|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Lightning->Fire|Lightning|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; FieldSurge[Lightning->Fire|Lightning|m=0.685|r=4.180|d=3.900|n=5|delay=0.160]; ChainArc[Lightning->Fire|Lightning|m=0.870|r=6.000|d=0.000|n=5|delay=0.000]
0x09,Blastwave,Fusion,Fire + Physical,f30bad19e4536768,BuildupWave[Fire->Fire|m=0.710|r=3.320|d=4.500|n=1|delay=0.000]; Push[Physical->Physical|m=0.560|r=3.320|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.116|r=3.320|d=2.000|n=1|delay=0.000]; Rebound[Physical->Fire|Physical|m=0.850|r=4.000|d=1.000|n=2|delay=0.220]; Field[Fire->Fire|Physical|m=0.380|r=2.500|d=3.200|n=4|delay=0.000]; ShardNova[Physical->Fire|Physical|m=0.735|r=4.350|d=3.500|n=6|delay=0.270],Burst[Physical->Fire|Physical|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Physical->Fire|Physical|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; FieldSurge[Physical->Fire|Physical|m=0.835|r=3.840|d=3.700|n=4|delay=0.490]
0x11,Searing Hemorrhage,Fusion,Fire + Blood,7b273606e977578f,BuildupWave[Fire->Fire|m=0.710|r=3.160|d=4.500|n=1|delay=0.000]; Execute[Blood->Blood|m=0.340|r=3.160|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.640|r=3.160|d=5.000|n=1|delay=0.000]; Execute[Blood->Fire|Blood|m=0.620|r=3.300|d=0.000|n=1|delay=0.000]; Contagion[Fire->Fire|Blood|m=0.580|r=4.000|d=4.500|n=3|delay=0.000]; DetonateBuildup[Fire->Fire|Blood|m=0.735|r=4.350|d=3.500|n=4|delay=0.270],Burst[Fire->Fire|Blood|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Fire->Fire|Blood|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; FieldSurge[Fire->Fire|Blood|m=0.710|r=4.010|d=3.300|n=7|delay=0.380]
0x21,Combustion,Fusion,Fire + Toxic,61ab3d79b5daf028,BuildupWave[Fire->Fire|m=0.710|r=3.240|d=4.500|n=1|delay=0.000]; Field[Toxic->Toxic|m=0.380|r=2.657|d=5.100|n=6|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.600|r=3.240|d=5.500|n=1|delay=0.000]; DelayedEcho[Fire->Fire|Toxic|m=1.050|r=4.200|d=0.000|n=2|delay=0.380]; SplitFields[Toxic->Fire|Toxic|m=0.480|r=3.600|d=4.500|n=4|delay=0.000]; ShardNova[Fire->Fire|Toxic|m=0.735|r=4.350|d=3.500|n=4|delay=0.270],Burst[Fire->Fire|Toxic|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Fire->Fire|Toxic|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; FieldSurge[Fire->Fire|Toxic|m=0.710|r=4.350|d=3.500|n=5|delay=0.160]
0x41,Blackflame,Fusion,Fire + Void,a02316a479cb21b1,BuildupWave[Fire->Fire|m=0.710|r=3.400|d=4.500|n=1|delay=0.000]; Pull[Void->Void|m=0.510|r=4.100|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.540|r=3.900|d=0.000|n=1|delay=0.360]; Compression[Void->Fire|Void|m=0.720|r=4.500|d=1.400|n=2|delay=0.240]; Field[Fire->Fire|Void|m=0.440|r=3.000|d=4.800|n=5|delay=0.000]; DetonateBuildup[Void->Fire|Void|m=0.735|r=4.350|d=3.500|n=4|delay=0.270],Burst[Void->Fire|Void|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Void->Fire|Void|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; FieldSurge[Void->Fire|Void|m=0.685|r=4.180|d=3.900|n=5|delay=0.490]; Pull[Void->Void|m=0.720|r=5.200|d=0.000|n=1|delay=0.000]
0x06,Superconduct,Fusion,Cold + Lightning,65577a41de54e700,Freeze[Cold->Cold|m=0.000|r=3.240|d=0.770|n=1|delay=0.000]; ChainArc[Lightning->Lightning|m=0.600|r=5.040|d=0.000|n=4|delay=0.000]; ChainArc[Lightning->Cold|Lightning|m=0.820|r=6.000|d=0.000|n=6|delay=0.000]; Freeze[Cold->Cold|Lightning|m=0.000|r=3.400|d=1.100|n=1|delay=0.000]; PulseNova[Cold->Cold|Lightning|m=0.660|r=3.840|d=3.300|n=6|delay=0.160],Burst[Cold->Cold|Lightning|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Cold->Cold|Lightning|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; Rebound[Cold->Cold|Lightning|m=0.760|r=4.010|d=3.700|n=7|delay=0.270]; ChainArc[Lightning->Cold|Lightning|m=0.870|r=6.000|d=0.000|n=5|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.200|d=1.020|n=1|delay=0.000]
0x0A,Shatter,Fusion,Cold + Physical,b8462fc6bc167d43,Freeze[Cold->Cold|m=0.000|r=3.320|d=0.770|n=1|delay=0.000]; Push[Physical->Physical|m=0.560|r=3.320|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.116|r=3.320|d=2.000|n=1|delay=0.000]; ShardNova[Cold->Cold|Physical|m=0.850|r=5.000|d=2.000|n=10|delay=0.000]; Stagger[Physical->Cold|Physical|m=0.520|r=4.000|d=1.600|n=2|delay=0.000]; SplitFields[Cold->Cold|Physical|m=0.760|r=3.840|d=3.700|n=7|delay=0.380],Burst[Cold->Cold|Physical|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Cold->Cold|Physical|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; Rebound[Cold->Cold|Physical|m=0.710|r=3.840|d=3.700|n=6|delay=0.160]; Freeze[Cold->Cold|m=0.000|r=4.200|d=1.020|n=1|delay=0.000]
0x12,Crimson Frost,Fusion,Cold + Blood,bf3a6425577b4ae0,Freeze[Cold->Cold|m=0.000|r=3.160|d=0.770|n=1|delay=0.000]; Execute[Blood->Blood|m=0.340|r=3.160|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.640|r=3.160|d=5.000|n=1|delay=0.000]; ShardNova[Blood->Cold|Blood|m=0.680|r=4.400|d=2.400|n=8|delay=0.000]; Execute[Blood->Cold|Blood|m=0.520|r=3.800|d=0.000|n=1|delay=0.000]; PulseNova[Blood->Cold|Blood|m=0.760|r=3.840|d=3.700|n=5|delay=0.380],Burst[Blood->Cold|Blood|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Blood->Cold|Blood|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; Rebound[Blood->Cold|Blood|m=0.810|r=3.840|d=3.300|n=5|delay=0.490]; Freeze[Cold->Cold|m=0.000|r=4.200|d=1.020|n=1|delay=0.000]
0x22,Cryotoxin,Fusion,Cold + Toxic,15991e2a97112a74,Freeze[Cold->Cold|m=0.000|r=3.240|d=0.770|n=1|delay=0.000]; Field[Toxic->Toxic|m=0.380|r=2.657|d=5.100|n=6|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.600|r=3.240|d=5.500|n=1|delay=0.000]; SplitFields[Cold->Cold|Toxic|m=0.420|r=3.600|d=5.200|n=5|delay=0.000]; DelayedEcho[Toxic->Cold|Toxic|m=0.720|r=4.100|d=0.000|n=3|delay=0.520]; SplitFields[Toxic->Cold|Toxic|m=0.760|r=3.840|d=3.700|n=5|delay=0.380],Burst[Toxic->Cold|Toxic|m=1.180|r=4.240|d=0.000|n=1|delay=0.000]; DetonateBuildup[Toxic->Cold|Toxic|m=0.920|r=4.400|d=0.000|n=1|delay=0.000]; Rebound[Toxic->Cold|Toxic|m=0.785|r=4.180|d=3.500|n=7|delay=0.270]; Freeze[Cold->Cold|m=0.000|r=4.200|d=1.020|n=1|delay=0.000]
