id,mask,tier,elements,name,catalyst,damage_multiplier,radius,duration,pulse_count,spread_stacks,assembly_window,description
reaction_03,0x03,Fusion,Fire + Cold,Thermal Shock,Cold,1.23,3.45,4.18,2,2,1.25,"Fusion of Fire, Cold. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x03."
reaction_05,0x05,Fusion,Fire + Lightning,Plasma,Lightning,1.33,3.24,4.09,2,2,1.21,"Fusion of Fire, Lightning. It combines burning, spreading flames and area denial; chains, rapid pulses and conduction. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x05."
reaction_09,0x09,Fusion,Fire + Physical,Blastwave,Physical,1.53,3.52,3.91,2,1,1.21,"Fusion of Fire, Physical. It combines burning, spreading flames and area denial; impact, armor break, stagger and displacement. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x09."
reaction_11,0x11,Fusion,Fire + Blood,Searing Hemorrhage,Fire,1.28,3.52,4.45,4,2,1.17,"Fusion of Fire, Blood. It combines burning, spreading flames and area denial; wounds, execution pressure and organic spread. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x11."
reaction_21,0x21,Fusion,Fire + Toxic,Combustion,Fire,1.43,3.45,3.64,2,1,1.25,"Fusion of Fire, Toxic. It combines burning, spreading flames and area denial; poison, contamination and persistent clouds. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x21."
reaction_41,0x41,Fusion,Fire + Void,Blackflame,Void,1.455,3.38,4.18,3,1,1.25,"Fusion of Fire, Void. It combines burning, spreading flames and area denial; pulling, spatial distortion and collapse. Void is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x41."
reaction_06,0x06,Fusion,Cold + Lightning,Superconduct,Cold,1.405,3.52,3.64,4,1,1.25,"Fusion of Cold, Lightning. It combines chill, freeze, brittleness and shattering; chains, rapid pulses and conduction. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x06."
reaction_0A,0x0A,Fusion,Cold + Physical,Shatter,Cold,1.28,3.17,4.45,4,2,1.21,"Fusion of Cold, Physical. It combines chill, freeze, brittleness and shattering; impact, armor break, stagger and displacement. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0A."
reaction_12,0x12,Fusion,Cold + Blood,Crimson Frost,Blood,1.355,3.17,4.0,3,2,1.21,"Fusion of Cold, Blood. It combines chill, freeze, brittleness and shattering; wounds, execution pressure and organic spread. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x12."
reaction_22,0x22,Fusion,Cold + Toxic,Cryotoxin,Toxic,1.505,3.1,4.18,4,1,1.25,"Fusion of Cold, Toxic. It combines chill, freeze, brittleness and shattering; poison, contamination and persistent clouds. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x22."
reaction_42,0x42,Fusion,Cold + Void,Entropic Prison,Cold,1.48,2.96,4.54,4,1,1.25,"Fusion of Cold, Void. It combines chill, freeze, brittleness and shattering; pulling, spatial distortion and collapse. Cold is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x42."
reaction_0C,0x0C,Fusion,Lightning + Physical,Thunderclap,Physical,1.38,3.03,4.36,3,2,1.21,"Fusion of Lightning, Physical. It combines chains, rapid pulses and conduction; impact, armor break, stagger and displacement. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x0C."
reaction_14,0x14,Fusion,Lightning + Blood,Neuroshock,Blood,1.455,2.96,3.91,3,1,1.17,"Fusion of Lightning, Blood. It combines chains, rapid pulses and conduction; wounds, execution pressure and organic spread. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x14."
reaction_24,0x24,Fusion,Lightning + Toxic,Ionized Miasma,Toxic,1.28,3.52,4.09,4,2,1.25,"Fusion of Lightning, Toxic. It combines chains, rapid pulses and conduction; poison, contamination and persistent clouds. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x24."
reaction_44,0x44,Fusion,Lightning + Void,Gravity Storm,Lightning,1.255,3.38,4.45,4,2,1.21,"Fusion of Lightning, Void. It combines chains, rapid pulses and conduction; pulling, spatial distortion and collapse. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x44."
reaction_18,0x18,Fusion,Physical + Blood,Rupture,Physical,1.33,3.31,3.73,2,2,1.17,"Fusion of Physical, Blood. It combines impact, armor break, stagger and displacement; wounds, execution pressure and organic spread. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x18."
reaction_28,0x28,Fusion,Physical + Toxic,Aerosolization,Toxic,1.48,3.24,3.91,4,1,1.21,"Fusion of Physical, Toxic. It combines impact, armor break, stagger and displacement; poison, contamination and persistent clouds. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x28."
reaction_48,0x48,Fusion,Physical + Void,Implosion,Void,1.455,3.1,4.18,3,1,1.21,"Fusion of Physical, Void. It combines impact, armor break, stagger and displacement; pulling, spatial distortion and collapse. Physical is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x48."
reaction_30,0x30,Fusion,Blood + Toxic,Sepsis,Blood,1.23,3.17,4.45,3,1,1.17,"Fusion of Blood, Toxic. It combines wounds, execution pressure and organic spread; poison, contamination and persistent clouds. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x30."
reaction_50,0x50,Fusion,Blood + Void,Soul Rupture,Void,1.255,3.1,4.09,4,1,1.21,"Fusion of Blood, Void. It combines wounds, execution pressure and organic spread; pulling, spatial distortion and collapse. Blood is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x50."
reaction_60,0x60,Fusion,Toxic + Void,Decay Well,Void,1.405,3.03,4.27,2,2,1.25,"Fusion of Toxic, Void. It combines poison, contamination and persistent clouds; pulling, spatial distortion and collapse. Toxic is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x60."
reaction_07,0x07,Compound,Fire + Cold + Lightning,Cinder Rime Volt Tempest,Lightning,1.77,3.58,4.72,3,2,1.135,"Compound of Fire, Cold, Lightning. It combines burning, spreading flames and area denial; chill, freeze, brittleness and shattering; chains, rapid pulses and conduction. Lightning is the default catalyst expression, changing pulse timing, propagation and residue behavior for signature 0x07."
